transaction_id,transaction_date,posting_date,gl_account,cost_centre,department,vendor_id,transaction_type,debit_amount,credit_amount,currency,exchange_rate,reference_number,description,status,created_by,approved_by,erp_batch_id
TXN000058,2023-11-13,2023-11-16,2100,CC002,Finance,VND0003,Invoice,0.0,253.71,GBP,1.0,REF00000058,Payment for Travel - IT,Posted,USER018,USER024,BATCH0032
TXN000059,2023-07-05,2023-07-07,1100,CC002,IT,VND0001,Credit Note,0.0,663.08,GBP,1.0,REF00000059,Payment for Accounts Receivable - Finance,Posted,USER018,USER021,BATCH0013
TXN000060,2023-10-23,2023-10-23,4300,CC002,Legal,VND0032,Payment,1742.92,0.0,GBP,1.0,REF00000060,Payment for Inventory - Sales,Posted,USER013,USER023,BATCH0049
TXN000061,2023-04-09,2023-04-10,3100,CC007,Procurement,VND0036,Payment,196.61,0.0,GBP,1.0,REF00000061,Payment for Accounts Receivable - IT,Pending,USER008,USER025,BATCH0002
TXN000062,2023-12-27,2023-12-28,3000,CC007,Legal,VND0049,Credit Note,305.37,0.0,USD,1.2346,REF00000062,Payment for Marketing - IT,Pending,USER013,,BATCH0014
TXN000063,2023-02-05,2023-02-08,4200,CC003,Operations,VND0043,Invoice,76.75,0.0,GBP,1.0,REF00000063,Payment for Accounts Payable - IT,Posted,USER016,USER024,BATCH0028
TXN000064,2023-01-24,2023-01-27,3100,CC004,Sales,VND0037,Debit Note,67.07,0.0,USD,1.2017,REF00000064,Payment for Revenue - Finance,Posted,USER015,USER024,BATCH0050
TXN000065,2023-12-05,2023-12-05,4000,CC002,Operations,VND0030,Journal Entry,0.0,1364.83,GBP,1.0,REF00000065,Payment for Revenue - HR,Posted,USER010,USER024,BATCH0041
TXN000066,2023-04-27,2023-04-28,1100,CC001,HR,VND0028,Payment,0.0,3085.16,GBP,1.0,REF00000066,Payment for Rent - IT,Posted,USER015,USER025,BATCH0049
TXN000067,2023-05-29,2023-05-31,3000,CC004,Operations,VND0015,Invoice,362.12,0.0,EUR,0.8434,REF00000067,Payment for Accounts Payable - Sales,Posted,USER006,USER021,BATCH0010
TXN000068,2023-02-10,2023-02-10,4400,CC006,Procurement,VND0025,Payment,0.0,1817.65,GBP,1.0,REF00000068,Payment for IT Expenses - IT,Posted,USER006,USER028,BATCH0029
TXN000069,2023-04-30,2023-04-30,4000,CC007,Operations,VND0025,Payment,693.99,0.0,GBP,1.0,REF00000069,Payment for Accounts Receivable - HR,Posted,USER013,USER027,BATCH0038
TXN000070,2023-02-21,2023-02-22,4600,CC003,Finance,VND0030,Credit Note,0.0,153.29,GBP,1.0,REF00000070,Payment for COGS - Finance,Posted,USER010,USER030,BATCH0049
TXN000071,2023-07-14,2023-07-17,1200,CC005,HR,VND0031,Debit Note,0.0,693.74,EUR,0.889,REF00000071,Payment for Salaries - Operations,Posted,USER001,USER023,BATCH0048
TXN000072,2023-05-23,2023-05-25,4200,CC004,IT,VND0034,Invoice,0.0,4052.36,GBP,1.0,REF00000072,Payment for COGS - Operations,Posted,USER018,USER030,BATCH0009
TXN000073,2023-08-21,2023-08-24,4500,CC001,IT,VND0041,Credit Note,382.32,0.0,GBP,1.0,REF00000073,Payment for Utilities - Operations,Posted,USER011,USER030,BATCH0042
TXN000074,2023-11-22,2023-11-22,4400,CC007,Finance,VND0025,Debit Note,0.0,4217.36,GBP,1.0,REF00000074,Payment for Revenue - Procurement,Posted,USER015,USER027,BATCH0020
TXN000075,2023-07-06,2023-07-06,4300,CC007,Procurement,VND0036,Debit Note,0.0,10.0,GBP,1.0,REF00000075,Payment for Cash - Procurement,Posted,USER006,USER026,BATCH0026
TXN000076,2023-03-25,2023-03-26,3000,CC002,Procurement,VND0027,Invoice,1384.17,0.0,GBP,1.0,REF00000076,Payment for Marketing - IT,Reversed,USER004,USER025,BATCH0016
TXN000077,2023-07-09,2023-07-12,4600,CC007,IT,VND0022,Debit Note,459.7,0.0,GBP,1.0,REF00000077,Payment for Cash - Legal,Posted,USER013,USER026,BATCH0010
TXN000078,2023-07-01,2023-07-01,4000,CC007,HR,VND0016,Credit Note,0.0,257.62,EUR,1.1858,REF00000078,Payment for Revenue - Legal,Posted,USER019,USER024,BATCH0002
TXN000079,2023-04-18,2023-04-18,4000,CC003,Procurement,VND0004,Debit Note,0.0,462.96,EUR,0.9712,REF00000079,Payment for Other Income - IT,Pending,USER014,USER026,BATCH0015
TXN000080,2023-12-10,2023-12-13,1100,CC004,Sales,VND0045,Journal Entry,20.46,0.0,GBP,1.0,REF00000080,Payment for Accounts Payable - Finance,Posted,USER014,,BATCH0029
TXN000081,2023-05-17,2023-05-18,1000,CC007,Legal,VND0021,Journal Entry,0.0,290.18,GBP,1.0,REF00000081,Payment for Accounts Payable - Legal,Posted,USER014,USER026,BATCH0017
TXN000082,2023-12-26,2023-12-27,4100,CC001,Sales,VND0024,Debit Note,689.29,0.0,USD,1.2913,REF00000082,Payment for Cash - Legal,Posted,USER007,USER024,BATCH0032
TXN000083,2023-12-16,2023-12-18,4000,CC003,Legal,VND0025,Journal Entry,3702.79,0.0,GBP,1.0,REF00000083,Payment for Utilities - IT,Posted,USER001,USER030,BATCH0026
TXN000084,2023-11-28,2023-11-30,4600,CC007,Finance,VND0047,Payment,185.41,0.0,USD,0.8062,REF00000084,Payment for Accrued Liabilities - HR,Posted,USER020,USER029,BATCH0030
TXN000085,2023-02-06,2023-02-08,2100,CC006,Legal,VND0018,Journal Entry,119.97,0.0,GBP,1.0,REF00000085,Payment for Utilities - Operations,Posted,USER008,USER029,BATCH0046
TXN000086,2023-11-08,2023-11-11,4300,CC006,IT,VND0035,Debit Note,0.0,190.06,GBP,1.0,REF00000086,Payment for Accounts Receivable - Operations,Posted,USER005,USER030,BATCH0030
TXN000087,2023-11-22,2023-11-24,4500,CC007,Finance,VND0002,Payment,0.0,1592.57,USD,0.8589,REF00000087,Payment for Accounts Receivable - HR,Posted,USER020,USER026,BATCH0024
TXN000088,2023-03-29,2023-03-31,2100,CC003,Legal,VND0015,Debit Note,660.59,0.0,EUR,0.861,REF00000088,Payment for Other Income - Finance,Posted,USER020,USER029,BATCH0014
TXN000089,2023-10-01,2023-10-04,3000,CC003,HR,VND0010,Credit Note,0.0,182.25,GBP,1.0,REF00000089,Payment for Accrued Liabilities - Legal,Posted,USER017,USER024,BATCH0030
TXN000090,2023-05-06,2023-05-08,4200,CC004,Legal,VND0018,Payment,0.0,871.23,GBP,1.0,REF00000090,Payment for IT Expenses - IT,Posted,USER003,USER030,BATCH0009
TXN000091,2023-03-25,2023-03-26,4000,CC007,Finance,VND0012,Journal Entry,0.0,466.67,GBP,1.0,REF00000091,Payment for Travel - IT,Posted,USER020,USER028,BATCH0027
TXN000092,2023-08-25,2023-08-25,1200,CC007,Operations,VND0011,Credit Note,0.0,1724.97,EUR,1.2674,REF00000092,Payment for Salaries - Operations,Posted,USER019,USER028,BATCH0004
TXN000093,2023-07-14,2023-07-15,2000,CC007,Procurement,VND0046,Payment,0.0,140.74,GBP,1.0,REF00000093,Payment for Utilities - HR,Posted,USER014,USER022,BATCH0016
TXN000094,2023-05-19,2023-05-20,4400,CC002,IT,VND0017,Journal Entry,246.78,0.0,EUR,0.8633,REF00000094,Payment for Inventory - Legal,Posted,USER001,USER023,BATCH0010
TXN000095,2023-11-24,2023-11-24,1200,CC006,Legal,VND0031,Payment,224.04,0.0,EUR,1.0443,REF00000095,Payment for Cash - Finance,Posted,USER011,,BATCH0041
TXN000096,2023-12-19,2023-12-20,1200,CC001,IT,VND0043,Credit Note,44.91,0.0,GBP,1.0,REF00000096,Payment for Other Income - HR,Posted,USER020,USER021,BATCH0007
TXN000097,2023-10-13,2023-10-13,4400,CC002,Procurement,VND0033,Debit Note,0.0,629.03,USD,1.1877,REF00000097,Payment for Marketing - HR,Posted,USER008,USER028,BATCH0019
TXN000098,2023-04-23,2023-04-24,4400,CC006,HR,VND0007,Payment,596.8,0.0,GBP,1.0,REF00000098,Payment for Inventory - Operations,Posted,USER006,USER023,BATCH0024
TXN000099,2023-12-17,2023-12-20,4400,CC005,Legal,VND0015,Journal Entry,406.54,0.0,EUR,1.1385,REF00000099,Payment for Revenue - IT,Posted,USER019,,BATCH0004
TXN000100,2023-06-16,2023-06-19,4600,CC002,IT,VND0036,Debit Note,0.0,283.76,GBP,1.0,REF00000100,Payment for COGS - IT,Posted,USER016,USER025,BATCH0023
TXN000101,2023-01-29,2023-01-31,4600,CC004,Finance,VND0048,Payment,48.28,0.0,USD,0.7626,REF00000101,Payment for Salaries - Sales,Posted,USER003,USER021,BATCH0030
TXN000102,2023-04-28,2023-05-01,3100,CC002,HR,VND0042,Journal Entry,214.65,0.0,GBP,1.0,REF00000102,Payment for Marketing - Operations,Posted,USER012,USER028,BATCH0025
TXN000103,2023-01-17,2023-01-17,4000,CC002,IT,VND0034,Journal Entry,241.27,0.0,GBP,1.0,REF00000103,Payment for IT Expenses - IT,Posted,USER001,USER023,BATCH0042
TXN000104,2023-06-11,2023-06-13,2100,CC005,Procurement,VND0037,Journal Entry,0.0,121.1,GBP,1.0,REF00000104,Payment for Revenue - Sales,Pending,USER020,USER024,BATCH0028
TXN000105,2023-07-25,2023-07-26,1000,CC003,HR,VND0040,Invoice,0.0,316.74,EUR,0.8478,REF00000105,Payment for Rent - IT,Posted,USER013,USER025,BATCH0005
TXN000106,2023-05-18,2023-05-21,1100,CC005,Finance,VND0040,Payment,739.58,0.0,GBP,1.0,REF00000106,Payment for Travel - Finance,Posted,USER018,USER025,BATCH0039
TXN000107,2023-02-03,2023-02-05,4300,CC004,Legal,VND0043,Payment,0.0,6831.36,GBP,1.0,REF00000107,Payment for Salaries - Legal,Posted,USER017,USER030,BATCH0019
TXN000108,2023-04-19,2023-04-22,3100,CC004,Operations,VND0032,Invoice,524.2,0.0,GBP,1.0,REF00000108,Payment for Rent - Operations,Pending,USER007,USER029,BATCH0023
TXN000109,2023-10-18,2023-10-20,2100,CC005,Legal,VND0015,Payment,0.0,593.67,GBP,1.0,REF00000109,Payment for Accounts Receivable - Sales,Posted,USER006,USER023,BATCH0033
TXN000110,2023-06-11,2023-06-11,1100,CC005,Procurement,VND0038,Invoice,360.8,0.0,GBP,1.0,REF00000110,Payment for Utilities - Procurement,Posted,USER015,USER030,BATCH0036
TXN000111,2023-04-19,2023-04-19,4200,CC003,HR,VND0034,Debit Note,22.69,0.0,GBP,1.0,REF00000111,Payment for Rent - Operations,Posted,USER012,USER021,BATCH0031
TXN000112,2023-12-02,2023-12-03,1100,CC006,HR,VND0007,Credit Note,0.0,387.7,GBP,1.0,REF00000112,Payment for Revenue - Sales,Posted,USER008,USER021,BATCH0003
TXN000113,2023-09-13,2023-09-15,4100,CC004,Procurement,VND0010,Debit Note,441.57,0.0,GBP,1.0,REF00000113,Payment for Travel - Sales,Posted,USER006,USER026,BATCH0031
TXN000114,2023-07-22,2023-07-22,4500,CC001,HR,VND0031,Journal Entry,16234.0,0.0,GBP,1.0,REF00000114,Payment for IT Expenses - Legal,Posted,USER016,USER022,BATCH0005
TXN000115,2023-11-26,2023-11-27,2100,CC002,Procurement,VND0006,Payment,0.0,302.31,GBP,1.0,REF00000115,Payment for IT Expenses - Sales,Posted,USER007,USER029,BATCH0023
TXN000116,2023-08-23,2023-08-25,3100,CC001,Procurement,VND0021,Payment,0.0,634.17,GBP,1.0,REF00000116,Payment for Revenue - Finance,Posted,USER011,USER023,BATCH0022
TXN000117,2023-03-15,2023-03-16,4100,CC006,Sales,VND0050,Journal Entry,382.96,0.0,GBP,1.0,REF00000117,Payment for Inventory - IT,Posted,USER005,USER024,BATCH0013
TXN000118,2023-05-16,2023-05-16,2100,CC001,IT,VND0016,Journal Entry,0.0,69.89,USD,0.8566,REF00000118,Payment for Inventory - IT,Posted,USER010,USER023,BATCH0020
TXN000119,2023-03-13,2023-03-14,4100,CC002,HR,VND0011,Credit Note,2240.01,0.0,GBP,1.0,REF00000119,Payment for Travel - HR,Posted,USER003,USER021,BATCH0033
TXN000120,2023-05-07,2023-05-09,4000,CC003,Finance,VND0003,Debit Note,1246.26,0.0,USD,0.9865,REF00000120,Payment for Accounts Receivable - Legal,Posted,USER001,USER028,BATCH0011
TXN000121,2023-10-15,2023-10-18,3000,CC006,Sales,VND0001,Journal Entry,0.0,1321.53,USD,1.1147,REF00000121,Payment for Utilities - IT,Posted,USER007,USER026,BATCH0001
TXN000122,2023-10-03,2023-10-03,2100,CC007,Operations,VND0045,Payment,103.12,0.0,USD,0.7917,REF00000122,Payment for Accrued Liabilities - Procurement,Posted,USER019,,BATCH0007
TXN000123,2023-05-15,2023-05-17,3000,CC006,Operations,VND0018,Invoice,3308.31,0.0,GBP,1.0,REF00000123,Payment for IT Expenses - Finance,Posted,USER015,USER030,BATCH0010
TXN000124,2023-10-27,2023-10-29,1000,CC001,IT,VND0008,Debit Note,49.27,0.0,GBP,1.0,REF00000124,Payment for COGS - Legal,Posted,USER015,USER027,BATCH0048
TXN000125,2023-08-08,2023-08-09,2000,CC007,Legal,VND0042,Payment,972.9,0.0,USD,0.7932,REF00000125,Payment for Travel - Operations,Posted,USER008,USER027,BATCH0046
TXN000126,2023-10-26,2023-10-26,2000,CC007,Sales,VND0045,Payment,10782.54,0.0,EUR,0.8972,REF00000126,Payment for Utilities - IT,Reversed,USER020,USER023,BATCH0036
TXN000127,2023-07-24,2023-07-27,4300,CC007,Finance,VND0002,Credit Note,0.0,91.3,GBP,1.0,REF00000127,Payment for Utilities - Procurement,Posted,USER015,USER023,BATCH0018
TXN000128,2023-07-05,2023-07-08,3100,CC004,HR,VND0004,Debit Note,172.53,0.0,GBP,1.0,REF00000128,Payment for Accounts Receivable - Finance,Posted,USER008,,BATCH0004
TXN000129,2023-04-23,2023-04-24,4400,CC003,IT,VND0022,Journal Entry,0.0,468.47,GBP,1.0,REF00000129,Payment for Accounts Payable - Sales,Posted,USER006,USER027,BATCH0002
TXN000130,2023-03-12,2023-03-12,1100,CC004,Operations,VND0031,Payment,189.58,0.0,GBP,1.0,REF00000130,Payment for Accounts Payable - IT,Pending,USER015,USER028,BATCH0033
TXN000131,2023-09-18,2023-09-21,4300,CC002,Legal,VND0007,Journal Entry,39.41,0.0,EUR,1.2955,REF00000131,Payment for IT Expenses - Procurement,Pending,USER017,,BATCH0014
TXN000132,2023-09-10,2023-09-10,4500,CC003,Procurement,VND0012,Journal Entry,0.0,447.13,EUR,1.3322,REF00000132,Payment for Marketing - Operations,Posted,USER004,USER024,BATCH0041
TXN000133,2023-02-16,2023-02-17,3100,CC001,Operations,VND0013,Journal Entry,0.0,81.99,GBP,1.0,REF00000133,Payment for Rent - IT,Posted,USER020,USER022,BATCH0034
TXN000134,2023-01-25,2023-01-25,3000,CC006,Legal,VND0018,Payment,820.89,0.0,GBP,1.0,REF00000134,Payment for Accounts Payable - HR,Posted,USER011,USER022,BATCH0024
TXN000135,2023-02-26,2023-02-26,2100,CC003,Sales,VND0018,Payment,101.58,0.0,GBP,1.0,REF00000135,Payment for Accounts Payable - Operations,Posted,USER006,USER021,BATCH0002
TXN000136,2023-03-20,2023-03-20,4000,CC003,Procurement,VND0003,Credit Note,4125.33,0.0,USD,0.8101,REF00000136,Payment for Utilities - Procurement,Pending,USER008,USER021,BATCH0029
TXN000137,2023-11-18,2023-11-19,1200,CC005,Procurement,VND0044,Invoice,124.6,0.0,GBP,1.0,REF00000137,Payment for Cash - HR,Posted,USER015,USER021,BATCH0026
TXN000138,2023-03-23,2023-03-24,4100,CC006,Operations,VND0014,Debit Note,0.0,248.86,GBP,1.0,REF00000138,Payment for Travel - HR,Posted,USER003,USER022,BATCH0022
TXN000139,2023-12-15,2023-12-16,4400,CC005,Operations,VND0008,Invoice,1366.87,0.0,GBP,1.0,REF00000139,Payment for Cash - HR,Posted,USER001,USER029,BATCH0040
TXN000140,2023-08-05,2023-08-08,4500,CC004,Finance,VND0035,Invoice,0.0,63.67,GBP,1.0,REF00000140,Payment for Accrued Liabilities - Procurement,Posted,USER002,,BATCH0030
TXN000141,2023-11-02,2023-11-04,1100,CC007,HR,VND0026,Journal Entry,567.47,0.0,EUR,1.0661,REF00000141,Payment for Travel - Legal,Posted,USER014,USER025,BATCH0023
TXN000142,2023-02-02,2023-02-02,4000,CC006,Finance,VND0034,Invoice,0.0,2866.12,GBP,1.0,REF00000142,Payment for Accounts Receivable - Sales,Reversed,USER017,,BATCH0040
TXN000143,2023-07-17,2023-07-19,2000,CC004,Operations,VND0036,Payment,36.19,0.0,GBP,1.0,REF00000143,Payment for COGS - Sales,Posted,USER016,USER030,BATCH0021
TXN000144,2023-07-15,2023-07-15,4500,CC004,Operations,VND0047,Invoice,532.16,0.0,GBP,1.0,REF00000144,Payment for COGS - IT,Pending,USER013,USER022,BATCH0019
