key,src_debit,src_credit,gl_account_src,department_src,transaction_date_src,currency_src,tgt_debit,tgt_credit,gl_account_tgt,department_tgt,transaction_date_tgt,currency_tgt,reconciliation_status,debit_delta,credit_delta
TXN000026,476.46,0.0,4000,HR,2023-10-07,EUR,476.46,0.0,4000,HR,2023-10-07,EUR,MATCHED,0.0,0.0
TXN000027,71.77,0.0,4200,IT,2023-08-03,EUR,71.77,0.0,4200,IT,2023-08-03,EUR,MATCHED,0.0,0.0
TXN000028,708.78,0.0,4600,Procurement,2023-04-23,GBP,708.78,0.0,4600,Procurement,2023-04-23,GBP,MATCHED,0.0,0.0
TXN000029,163.86,0.0,4300,Legal,2023-08-18,GBP,163.86,0.0,4300,Legal,2023-08-18,GBP,MATCHED,0.0,0.0
TXN000030,260.46,0.0,4200,Finance,2023-10-29,GBP,260.46,0.0,4200,Finance,2023-10-29,GBP,MATCHED,0.0,0.0
TXN000031,0.0,163.6,4600,Legal,2023-05-23,USD,0.0,163.6,4600,Legal,2023-05-23,USD,MATCHED,0.0,0.0
TXN000032,6492.59,0.0,4300,HR,2023-01-04,GBP,6492.59,0.0,4300,HR,2023-01-04,GBP,MATCHED,0.0,0.0
TXN000033,395.34,0.0,1200,Finance,2023-03-23,GBP,395.34,0.0,1200,Finance,2023-03-23,GBP,MATCHED,0.0,0.0
TXN000034,82.55,0.0,3100,HR,2023-12-24,EUR,82.55,0.0,3100,HR,2023-12-24,EUR,MATCHED,0.0,0.0
TXN000035,0.0,1385.5,2100,Operations,2023-08-05,GBP,0.0,1385.5,2100,Operations,2023-08-05,GBP,MATCHED,0.0,0.0
TXN000036,64.63,0.0,1100,Legal,2023-06-24,GBP,64.63,0.0,1100,Legal,2023-06-24,GBP,MATCHED,0.0,0.0
TXN000037,0.0,551.86,1000,IT,2023-05-23,GBP,0.0,551.86,1000,IT,2023-05-23,GBP,MATCHED,0.0,0.0
TXN000038,21.34,0.0,4400,Sales,2023-03-21,GBP,21.34,0.0,4400,Sales,2023-03-21,GBP,MATCHED,0.0,0.0
TXN000039,0.0,55.02,4000,Sales,2023-04-21,GBP,0.0,55.02,4000,Sales,2023-04-21,GBP,MATCHED,0.0,0.0
TXN000040,0.0,542.01,4100,Finance,2023-06-22,GBP,0.0,542.01,4100,Finance,2023-06-22,GBP,MATCHED,0.0,0.0
TXN000041,0.0,1221.34,2000,Legal,2023-02-22,GBP,0.0,1221.34,2000,Legal,2023-02-22,GBP,MATCHED,0.0,0.0
TXN000042,0.0,521.68,2000,Sales,2023-02-17,GBP,0.0,521.68,2000,Sales,2023-02-17,GBP,MATCHED,0.0,0.0
TXN000043,339.18,0.0,3000,Finance,2023-07-14,EUR,339.18,0.0,3000,Finance,2023-07-14,EUR,MATCHED,0.0,0.0
TXN000044,0.0,256.81,4100,Legal,2023-02-19,GBP,0.0,256.81,4100,Legal,2023-02-19,GBP,MATCHED,0.0,0.0
TXN000045,43.91,0.0,3100,Procurement,2023-07-03,GBP,43.91,0.0,3100,Procurement,2023-07-03,GBP,MATCHED,0.0,0.0
TXN000046,137.03,0.0,1000,Legal,2023-06-26,GBP,137.03,0.0,1000,Legal,2023-06-26,GBP,MATCHED,0.0,0.0
TXN000047,202.16,0.0,4200,Finance,2023-11-06,EUR,202.16,0.0,4200,Finance,2023-11-06,EUR,MATCHED,0.0,0.0
TXN000048,1969.79,0.0,4000,HR,2023-05-16,USD,1969.79,0.0,4000,HR,2023-05-16,USD,MATCHED,0.0,0.0
TXN000049,0.0,675.48,4100,Procurement,2023-01-23,GBP,0.0,675.48,4100,Procurement,2023-01-23,GBP,MATCHED,0.0,0.0
TXN000050,0.0,28.66,4100,HR,2023-08-24,GBP,0.0,28.66,4100,HR,2023-08-24,GBP,MATCHED,0.0,0.0
TXN000051,0.0,655.98,4300,Operations,2023-10-02,GBP,,,,,,,MISSING_IN_TARGET,,
TXN000052,0.0,226.42,4100,IT,2023-03-05,GBP,0.0,226.42,4100,IT,2023-03-05,GBP,MATCHED,0.0,0.0
TXN000053,146.15,0.0,4200,Finance,2023-07-13,EUR,146.15,0.0,4200,Finance,2023-07-13,EUR,MATCHED,0.0,0.0
TXN000054,1009.81,0.0,1100,Procurement,2023-02-10,GBP,1009.81,0.0,1100,Procurement,2023-02-10,GBP,MATCHED,0.0,0.0
TXN000055,0.0,1894.1,4500,Operations,2023-10-10,GBP,0.0,1894.1,4500,Operations,2023-10-10,GBP,MATCHED,0.0,0.0
TXN000056,0.0,1630.95,1100,Legal,2023-05-31,EUR,0.0,1630.95,1100,Legal,2023-05-31,EUR,MATCHED,0.0,0.0
TXN000057,114.57,0.0,4400,Operations,2023-11-18,GBP,114.57,0.0,4400,Operations,2023-11-18,GBP,MATCHED,0.0,0.0
TXN000058,0.0,253.71,2100,Finance,2023-11-13,GBP,0.0,253.71,2100,Finance,2023-11-13,GBP,MATCHED,0.0,0.0
TXN000059,0.0,663.08,1100,IT,2023-07-05,GBP,0.0,663.08,1100,IT,2023-07-05,GBP,MATCHED,0.0,0.0
TXN000060,1742.92,0.0,4300,Legal,2023-10-23,GBP,1742.92,0.0,4300,Legal,2023-10-23,GBP,MATCHED,0.0,0.0
TXN000061,196.61,0.0,3100,Procurement,2023-04-09,GBP,196.61,0.0,3100,Procurement,2023-04-09,GBP,MATCHED,0.0,0.0
TXN000062,305.37,0.0,3000,Legal,2023-12-27,USD,305.37,0.0,3000,Legal,2023-12-27,USD,MATCHED,0.0,0.0
TXN000063,76.75,0.0,4200,Operations,2023-02-05,GBP,76.75,0.0,4200,Operations,2023-02-05,GBP,MATCHED,0.0,0.0
TXN000064,67.07,0.0,3100,Sales,2023-01-24,USD,66.68,0.0,3100,Sales,2023-01-24,USD,AMOUNT_DISCREPANCY,0.39,0.0
TXN000065,0.0,1364.83,4000,Operations,2023-12-05,GBP,0.0,1364.83,4000,Operations,2023-12-05,GBP,MATCHED,0.0,0.0
TXN000066,0.0,3085.16,1100,HR,2023-04-27,GBP,0.0,3085.16,1100,HR,2023-04-27,GBP,MATCHED,0.0,0.0
TXN000067,362.12,0.0,3000,Operations,2023-05-29,EUR,362.12,0.0,3000,Operations,2023-05-29,EUR,MATCHED,0.0,0.0
TXN000068,0.0,1817.65,4400,Procurement,2023-02-10,GBP,0.0,1817.65,4400,Procurement,2023-02-10,GBP,MATCHED,0.0,0.0
TXN000069,693.99,0.0,4000,Operations,2023-04-30,GBP,693.99,0.0,4000,Operations,2023-04-30,GBP,MATCHED,0.0,0.0
TXN000070,0.0,153.29,4600,Finance,2023-02-21,GBP,0.0,153.29,4600,Finance,2023-02-21,GBP,MATCHED,0.0,0.0
TXN000071,0.0,693.74,1200,HR,2023-07-14,EUR,0.0,693.74,1200,HR,2023-07-14,EUR,MATCHED,0.0,0.0
TXN000072,0.0,4052.36,4200,IT,2023-05-23,GBP,0.0,4052.36,4200,IT,2023-05-23,GBP,MATCHED,0.0,0.0
TXN000073,382.32,0.0,4500,IT,2023-08-21,GBP,382.32,0.0,4500,IT,2023-08-21,GBP,MATCHED,0.0,0.0
TXN000074,0.0,4217.36,4400,Finance,2023-11-22,GBP,0.0,4217.36,4400,Finance,2023-11-22,GBP,MATCHED,0.0,0.0
TXN000075,0.0,10.0,4300,Procurement,2023-07-06,GBP,0.0,10.0,4300,Procurement,2023-07-06,GBP,MATCHED,0.0,0.0
TXN000076,1384.17,0.0,3000,Procurement,2023-03-25,GBP,1384.17,0.0,3000,Procurement,2023-03-25,GBP,MATCHED,0.0,0.0
TXN000077,459.7,0.0,4600,IT,2023-07-09,GBP,459.7,0.0,4600,IT,2023-07-09,GBP,MATCHED,0.0,0.0
TXN000078,0.0,257.62,4000,HR,2023-07-01,EUR,0.0,257.62,4000,HR,2023-07-01,EUR,MATCHED,0.0,0.0
TXN000079,0.0,462.96,4000,Procurement,2023-04-18,EUR,0.0,462.96,4000,Procurement,2023-04-18,EUR,MATCHED,0.0,0.0
TXN000080,20.46,0.0,1100,Sales,2023-12-10,GBP,20.46,0.0,1100,Sales,2023-12-10,GBP,MATCHED,0.0,0.0
TXN000081,0.0,290.18,1000,Legal,2023-05-17,GBP,0.0,290.18,1000,Legal,2023-05-17,GBP,MATCHED,0.0,0.0
TXN000082,689.29,0.0,4100,Sales,2023-12-26,USD,689.29,0.0,4100,Sales,2023-12-26,USD,MATCHED,0.0,0.0
TXN000083,3702.79,0.0,4000,Legal,2023-12-16,GBP,3702.79,0.0,4000,Legal,2023-12-16,GBP,MATCHED,0.0,0.0
TXN000084,185.41,0.0,4600,Finance,2023-11-28,USD,185.41,0.0,4600,Finance,2023-11-28,USD,MATCHED,0.0,0.0
TXN000085,119.97,0.0,2100,Legal,2023-02-06,GBP,119.97,0.0,2100,Legal,2023-02-06,GBP,MATCHED,0.0,0.0
TXN000086,0.0,190.06,4300,IT,2023-11-08,GBP,0.0,190.06,4300,IT,2023-11-08,GBP,MATCHED,0.0,0.0
TXN000087,0.0,1592.57,4500,Finance,2023-11-22,USD,0.0,1592.57,4500,Finance,2023-11-22,USD,MATCHED,0.0,0.0
TXN000088,660.59,0.0,2100,Legal,2023-03-29,EUR,660.59,0.0,2100,Legal,2023-03-29,EUR,MATCHED,0.0,0.0
TXN000089,0.0,182.25,3000,HR,2023-10-01,GBP,0.0,182.25,3000,HR,2023-10-01,GBP,MATCHED,0.0,0.0
TXN000090,0.0,871.23,4200,Legal,2023-05-06,GBP,0.0,871.23,4200,Legal,2023-05-06,GBP,MATCHED,0.0,0.0
TXN000091,0.0,466.67,4000,Finance,2023-03-25,GBP,0.0,466.67,4000,Finance,2023-03-25,GBP,MATCHED,0.0,0.0
TXN000092,0.0,1724.97,1200,Operations,2023-08-25,EUR,0.0,1724.97,1200,Operations,2023-08-25,EUR,MATCHED,0.0,0.0
TXN000093,0.0,140.74,2000,Procurement,2023-07-14,GBP,0.0,140.74,2000,Procurement,2023-07-14,GBP,MATCHED,0.0,0.0
TXN000094,246.78,0.0,4400,IT,2023-05-19,EUR,246.78,0.0,4400,IT,2023-05-19,EUR,MATCHED,0.0,0.0
TXN000095,224.04,0.0,1200,Legal,2023-11-24,EUR,224.04,0.0,1200,Legal,2023-11-24,EUR,MATCHED,0.0,0.0
TXN000096,44.91,0.0,1200,IT,2023-12-19,GBP,44.91,0.0,1200,IT,2023-12-19,GBP,MATCHED,0.0,0.0
TXN000097,0.0,629.03,4400,Procurement,2023-10-13,USD,0.0,629.03,4400,Procurement,2023-10-13,USD,MATCHED,0.0,0.0
TXN000098,596.8,0.0,4400,HR,2023-04-23,GBP,596.8,0.0,4400,HR,2023-04-23,GBP,MATCHED,0.0,0.0
TXN000099,406.54,0.0,4400,Legal,2023-12-17,EUR,406.54,0.0,4400,Legal,2023-12-17,EUR,MATCHED,0.0,0.0
TXN000100,0.0,283.76,4600,IT,2023-06-16,GBP,0.0,283.76,4600,IT,2023-06-16,GBP,MATCHED,0.0,0.0
TXN000101,48.28,0.0,4600,Finance,2023-01-29,USD,48.28,0.0,4600,Finance,2023-01-29,USD,MATCHED,0.0,0.0
TXN000102,214.65,0.0,3100,HR,2023-04-28,GBP,214.65,0.0,3100,HR,2023-04-28,GBP,MATCHED,0.0,0.0
TXN000103,241.27,0.0,4000,IT,2023-01-17,GBP,241.27,0.0,4000,IT,2023-01-17,GBP,MATCHED,0.0,0.0
TXN000104,0.0,121.1,2100,Procurement,2023-06-11,GBP,0.0,121.1,2100,Procurement,2023-06-11,GBP,MATCHED,0.0,0.0
TXN000105,0.0,316.74,1000,HR,2023-07-25,EUR,0.0,316.74,1000,HR,2023-07-25,EUR,MATCHED,0.0,0.0
TXN000106,739.58,0.0,1100,Finance,2023-05-18,GBP,739.58,0.0,1100,Finance,2023-05-18,GBP,MATCHED,0.0,0.0
TXN000107,0.0,6831.36,4300,Legal,2023-02-03,GBP,0.0,6831.36,4300,Legal,2023-02-03,GBP,MATCHED,0.0,0.0
TXN000108,524.2,0.0,3100,Operations,2023-04-19,GBP,524.2,0.0,3100,Operations,2023-04-19,GBP,MATCHED,0.0,0.0
TXN000109,0.0,593.67,2100,Legal,2023-10-18,GBP,0.0,593.67,2100,Legal,2023-10-18,GBP,MATCHED,0.0,0.0
TXN000110,360.8,0.0,1100,Procurement,2023-06-11,GBP,360.8,0.0,1100,Procurement,2023-06-11,GBP,MATCHED,0.0,0.0
TXN000111,22.69,0.0,4200,HR,2023-04-19,GBP,22.69,0.0,4200,HR,2023-04-19,GBP,MATCHED,0.0,0.0
TXN000112,0.0,387.7,1100,HR,2023-12-02,GBP,0.0,387.7,1100,HR,2023-12-02,GBP,MATCHED,0.0,0.0
TXN000113,441.57,0.0,4100,Procurement,2023-09-13,GBP,441.57,0.0,4100,Procurement,2023-09-13,GBP,MATCHED,0.0,0.0
TXN000114,16234.0,0.0,4500,HR,2023-07-22,GBP,16234.0,0.0,4500,HR,2023-07-22,GBP,MATCHED,0.0,0.0
TXN000115,0.0,302.31,2100,Procurement,2023-11-26,GBP,0.0,302.31,2100,Procurement,2023-11-26,GBP,MATCHED,0.0,0.0
TXN000116,0.0,634.17,3100,Procurement,2023-08-23,GBP,0.0,634.17,3100,Procurement,2023-08-23,GBP,MATCHED,0.0,0.0
TXN000117,382.96,0.0,4100,Sales,2023-03-15,GBP,382.96,0.0,4100,Sales,2023-03-15,GBP,MATCHED,0.0,0.0
TXN000118,0.0,69.89,2100,IT,2023-05-16,USD,0.0,69.89,2100,IT,2023-05-16,USD,MATCHED,0.0,0.0
TXN000119,2240.01,0.0,4100,HR,2023-03-13,GBP,2240.01,0.0,4100,HR,2023-03-13,GBP,MATCHED,0.0,0.0
TXN000120,1246.26,0.0,4000,Finance,2023-05-07,USD,1246.26,0.0,4000,Finance,2023-05-07,USD,MATCHED,0.0,0.0
TXN000121,0.0,1321.53,3000,Sales,2023-10-15,USD,0.0,1321.53,3000,Sales,2023-10-15,USD,MATCHED,0.0,0.0
TXN000122,103.12,0.0,2100,Operations,2023-10-03,USD,103.12,0.0,2100,Operations,2023-10-03,USD,MATCHED,0.0,0.0
TXN000123,3308.31,0.0,3000,Operations,2023-05-15,GBP,3308.31,0.0,3000,Operations,2023-05-15,GBP,MATCHED,0.0,0.0
TXN000124,49.27,0.0,1000,IT,2023-10-27,GBP,49.27,0.0,1000,IT,2023-10-27,GBP,MATCHED,0.0,0.0
TXN000125,972.9,0.0,2000,Legal,2023-08-08,USD,972.9,0.0,2000,Legal,2023-08-08,USD,MATCHED,0.0,0.0
TXN000126,10782.54,0.0,2000,Sales,2023-10-26,EUR,10782.54,0.0,2000,Sales,2023-10-26,EUR,MATCHED,0.0,0.0
TXN000127,0.0,91.3,4300,Finance,2023-07-24,GBP,0.0,91.3,4300,Finance,2023-07-24,GBP,MATCHED,0.0,0.0
TXN000128,172.53,0.0,3100,HR,2023-07-05,GBP,172.53,0.0,3100,HR,2023-07-05,GBP,MATCHED,0.0,0.0
TXN000129,0.0,468.47,4400,IT,2023-04-23,GBP,0.0,468.47,4400,IT,2023-04-23,GBP,MATCHED,0.0,0.0
TXN000130,189.58,0.0,1100,Operations,2023-03-12,GBP,189.58,0.0,1100,Operations,2023-03-12,GBP,MATCHED,0.0,0.0
TXN000131,39.41,0.0,4300,Legal,2023-09-18,EUR,39.41,0.0,4300,Legal,2023-09-18,EUR,MATCHED,0.0,0.0
TXN000132,0.0,447.13,4500,Procurement,2023-09-10,EUR,0.0,447.13,4500,Procurement,2023-09-10,EUR,MATCHED,0.0,0.0
TXN000133,0.0,81.99,3100,Operations,2023-02-16,GBP,0.0,81.99,3100,Operations,2023-02-16,GBP,MATCHED,0.0,0.0
TXN000134,820.89,0.0,3000,Legal,2023-01-25,GBP,820.89,0.0,3000,Legal,2023-01-25,GBP,MATCHED,0.0,0.0
TXN000135,101.58,0.0,2100,Sales,2023-02-26,GBP,101.58,0.0,2100,Sales,2023-02-26,GBP,MATCHED,0.0,0.0
TXN000136,4125.33,0.0,4000,Procurement,2023-03-20,USD,4125.33,0.0,4000,Procurement,2023-03-20,USD,MATCHED,0.0,0.0
TXN000137,124.6,0.0,1200,Procurement,2023-11-18,GBP,124.6,0.0,1200,Procurement,2023-11-18,GBP,MATCHED,0.0,0.0
TXN000138,0.0,248.86,4100,Operations,2023-03-23,GBP,0.0,248.86,4100,Operations,2023-03-23,GBP,MATCHED,0.0,0.0
TXN000139,1366.87,0.0,4400,Operations,2023-12-15,GBP,1366.87,0.0,4400,Operations,2023-12-15,GBP,MATCHED,0.0,0.0
TXN000140,0.0,63.67,4500,Finance,2023-08-05,GBP,0.0,63.67,4500,Finance,2023-08-05,GBP,MATCHED,0.0,0.0
TXN000141,567.47,0.0,1100,HR,2023-11-02,EUR,567.47,0.0,1100,HR,2023-11-02,EUR,MATCHED,0.0,0.0
TXN000142,0.0,2866.12,4000,Finance,2023-02-02,GBP,0.0,2866.12,4000,Finance,2023-02-02,GBP,MATCHED,0.0,0.0
TXN000143,36.19,0.0,2000,Operations,2023-07-17,GBP,36.19,0.0,2000,Operations,2023-07-17,GBP,MATCHED,0.0,0.0
TXN000144,532.16,0.0,4500,Operations,2023-07-15,GBP,532.16,0.0,4500,Operations,2023-07-15,GBP,MATCHED,0.0,0.0
TXN000145,0.0,595.75,1100,IT,2023-11-02,EUR,0.0,595.75,1100,IT,2023-11-02,EUR,MATCHED,0.0,0.0
TXN000146,1303.4,0.0,1100,Finance,2023-08-28,EUR,1303.4,0.0,1100,Finance,2023-08-28,EUR,MATCHED,0.0,0.0
TXN000147,63.09,0.0,1000,HR,2023-09-28,EUR,63.09,0.0,1000,HR,2023-09-28,EUR,MATCHED,0.0,0.0
TXN000148,0.0,55.66,4000,HR,2023-05-09,GBP,0.0,55.66,4000,HR,2023-05-09,GBP,MATCHED,0.0,0.0
TXN000149,0.0,882.64,1000,HR,2023-10-11,GBP,0.0,882.64,1000,HR,2023-10-11,GBP,MATCHED,0.0,0.0
TXN000150,0.0,629.85,4100,IT,2023-01-06,USD,0.0,629.85,4100,IT,2023-01-06,USD,MATCHED,0.0,0.0
TXN000151,0.0,587.42,3000,Operations,2023-12-15,USD,0.0,587.42,3000,Operations,2023-12-15,USD,MATCHED,0.0,0.0
TXN000152,0.0,678.36,4100,HR,2023-02-28,EUR,0.0,678.36,4100,HR,2023-02-28,EUR,MATCHED,0.0,0.0
TXN000153,0.0,145.47,4500,Legal,2023-12-16,GBP,0.0,145.47,4500,Legal,2023-12-16,GBP,MATCHED,0.0,0.0
TXN000154,0.0,571.57,4000,HR,2023-10-02,GBP,0.0,571.57,4000,HR,2023-10-02,GBP,MATCHED,0.0,0.0
TXN000155,626.16,0.0,4000,IT,2023-05-17,GBP,626.16,0.0,4000,IT,2023-05-17,GBP,MATCHED,0.0,0.0
TXN000156,138.17,0.0,4600,Operations,2023-11-25,EUR,138.17,0.0,4600,Operations,2023-11-25,EUR,MATCHED,0.0,0.0
TXN000157,6625.37,0.0,3100,IT,2023-06-24,EUR,6625.37,0.0,3100,IT,2023-06-24,EUR,MATCHED,0.0,0.0
TXN000158,821.19,0.0,4300,HR,2023-02-27,USD,821.19,0.0,4300,HR,2023-02-27,USD,MATCHED,0.0,0.0
TXN000159,0.0,67.56,3000,Finance,2023-05-31,GBP,0.0,67.56,3000,Finance,2023-05-31,GBP,MATCHED,0.0,0.0
TXN000160,1080.12,0.0,2000,Sales,2023-08-11,GBP,1080.12,0.0,2000,Sales,2023-08-11,GBP,MATCHED,0.0,0.0
TXN000161,93.5,0.0,4300,Legal,2023-03-22,GBP,93.5,0.0,4300,Legal,2023-03-22,GBP,MATCHED,0.0,0.0
TXN000162,1313.73,0.0,4300,HR,2023-08-21,EUR,1313.73,0.0,4300,HR,2023-08-21,EUR,MATCHED,0.0,0.0
TXN000163,2293.64,0.0,2100,Procurement,2023-01-02,GBP,2293.64,0.0,2100,Procurement,2023-01-02,GBP,MATCHED,0.0,0.0
TXN000164,0.0,117.8,3100,IT,2023-05-15,GBP,0.0,117.5,3100,IT,2023-05-15,GBP,AMOUNT_DISCREPANCY,0.0,0.3
TXN000165,1711.4,0.0,4000,HR,2023-09-14,EUR,1711.4,0.0,4000,HR,2023-09-14,EUR,MATCHED,0.0,0.0
TXN000166,0.0,749.32,3000,Legal,2023-04-02,GBP,0.0,749.32,3000,Legal,2023-04-02,GBP,MATCHED,0.0,0.0
TXN000167,0.0,1384.49,4000,Legal,2023-09-17,USD,0.0,1384.49,4000,Legal,2023-09-17,USD,MATCHED,0.0,0.0
TXN000168,0.0,6940.92,4200,Procurement,2023-02-24,GBP,0.0,6940.92,4200,Procurement,2023-02-24,GBP,MATCHED,0.0,0.0
TXN000169,0.0,279.2,4400,Operations,2023-11-17,GBP,0.0,279.2,4400,Operations,2023-11-17,GBP,MATCHED,0.0,0.0
TXN000170,0.0,130.24,4400,IT,2023-06-02,GBP,0.0,130.24,4400,IT,2023-06-02,GBP,MATCHED,0.0,0.0
TXN000171,0.0,106.24,4100,Legal,2023-11-24,GBP,0.0,106.24,4100,Legal,2023-11-24,GBP,MATCHED,0.0,0.0
TXN000172,118.66,0.0,1200,IT,2023-09-17,GBP,118.66,0.0,1200,IT,2023-09-17,GBP,MATCHED,0.0,0.0
TXN000173,359.37,0.0,4000,Procurement,2023-11-08,USD,359.37,0.0,4000,Procurement,2023-11-08,USD,MATCHED,0.0,0.0
TXN000174,0.0,672.99,3100,Sales,2023-04-12,GBP,0.0,672.99,3100,Sales,2023-04-12,GBP,MATCHED,0.0,0.0
TXN000175,610.96,0.0,1200,Legal,2023-03-20,GBP,610.96,0.0,1200,Legal,2023-03-20,GBP,MATCHED,0.0,0.0
TXN000176,0.0,1395.17,4600,Finance,2023-07-11,EUR,0.0,1395.17,4600,Finance,2023-07-11,EUR,MATCHED,0.0,0.0
TXN000177,411.37,0.0,4200,IT,2023-03-24,GBP,411.37,0.0,4200,IT,2023-03-24,GBP,MATCHED,0.0,0.0
TXN000178,3569.93,0.0,4600,HR,2023-10-04,GBP,3569.93,0.0,4600,HR,2023-10-04,GBP,MATCHED,0.0,0.0
TXN000179,0.0,271.24,4300,HR,2023-09-29,EUR,0.0,271.24,4300,HR,2023-09-29,EUR,MATCHED,0.0,0.0
TXN000180,0.0,23867.04,3100,Sales,2023-01-01,GBP,0.0,23867.04,3100,Sales,2023-01-01,GBP,MATCHED,0.0,0.0
TXN000181,0.0,1031.22,3000,IT,2023-11-03,GBP,0.0,1031.22,3000,IT,2023-11-03,GBP,MATCHED,0.0,0.0
TXN000182,0.0,111.53,2000,Finance,2023-06-15,GBP,0.0,111.53,2000,Finance,2023-06-15,GBP,MATCHED,0.0,0.0
TXN000183,80.94,0.0,3100,Finance,2023-09-08,GBP,80.94,0.0,3100,Finance,2023-09-08,GBP,MATCHED,0.0,0.0
TXN000184,831.9,0.0,1000,Procurement,2023-01-10,GBP,831.9,0.0,1000,Procurement,2023-01-10,GBP,MATCHED,0.0,0.0
TXN000185,288.53,0.0,3000,Procurement,2023-02-27,USD,288.53,0.0,3000,Procurement,2023-02-27,USD,MATCHED,0.0,0.0
TXN000186,0.0,1177.33,1000,Operations,2023-07-05,EUR,0.0,1177.33,1000,Operations,2023-07-05,EUR,MATCHED,0.0,0.0
TXN000187,0.0,820.45,1200,Legal,2023-06-07,GBP,0.0,820.45,1200,Legal,2023-06-07,GBP,MATCHED,0.0,0.0
TXN000188,361.68,0.0,4500,Operations,2023-05-03,GBP,361.68,0.0,4500,Operations,2023-05-03,GBP,MATCHED,0.0,0.0
TXN000189,0.0,113.27,3000,Finance,2023-01-30,GBP,0.0,113.27,3000,Finance,2023-01-30,GBP,MATCHED,0.0,0.0
TXN000190,41.58,0.0,3100,IT,2023-05-04,GBP,41.58,0.0,3100,IT,2023-05-04,GBP,MATCHED,0.0,0.0
TXN000191,0.0,206.48,3100,IT,2023-10-18,GBP,0.0,206.48,3100,IT,2023-10-18,GBP,MATCHED,0.0,0.0
